Date, Close/Last, Volume, Open, High, Low
03/18/2020, 246.67, 75058410, $239.77, $250, $237.12
03/17/2020, 252.86, 81013970, $247.51, $257.61, $238.4
03/16/2020, 242.21, 80605870, $241.95, $259.08, $240
03/13/2020, 277.97, 92683030, $264.89, $279.92, $252.95
03/12/2020, 248.23, 104618500, $255.94, $270, $248
03/11/2020, 275.43, 64094970, $277.39, $281.22, $271.86
03/10/2020, 285.34, 71322520, $277.14, $286.44, $269.37
03/09/2020, 266.17, 71686210, $263.75, $278.09, $263
03/06/2020, 289.03, 56544250, $282, $290.82, $281.23
03/05/2020, 292.92, 46893220, $295.52, $299.55, $291.41
03/04/2020, 302.74, 54794570, $296.44, $303.4, $293.13
03/03/2020, 289.32, 79868850, $303.67, $304, $285.8
03/02/2020, 298.81, 85349340, $282.28, $301.44, $277.72
